log_id,drone_id,delivery_id,timestamp,battery_level,gps_signal,weather_condition,status
LOG000001,D082,DEL00001,2025-10-22 14:50:25,99.91,0.947,cloudy,ACTIVE
LOG000002,D082,DEL00001,2025-10-22 14:54:03,98.07,0.931,cloudy,ACTIVE
LOG000003,D082,DEL00001,2025-10-22 14:57:41,96.23,0.971,cloudy,ACTIVE
LOG000004,D082,DEL00001,2025-10-22 15:01:19,94.39,0.973,cloudy,ACTIVE
LOG000005,D082,DEL00001,2025-10-22 15:04:57,92.55,,cloudy,ACTIVE
LOG000006,D082,DEL00001,2025-10-22 15:08:35,90.71,0.63,cloudy,COMPLETED
LOG000007,D036,DEL00002,2025-11-17 13:16:43,99.47,0.745,heavy_rain,ACTIVE
LOG000008,D036,DEL00002,2025-11-17 13:21:34,96.81,0.939,heavy_rain,ACTIVE
LOG000009,D036,DEL00002,2025-11-17 13:26:25,94.15,0.57,heavy_rain,ACTIVE
LOG000010,D036,DEL00002,2025-11-17 13:31:17,91.49,0.886,heavy_rain,ACTIVE
LOG000011,D036,DEL00002,2025-11-17 13:36:08,88.83,0.991,clear,ACTIVE
LOG000012,D036,DEL00002,2025-11-17 13:41:00,86.17,0.718,heavy_rain,COMPLETED
LOG000013,D095,DEL00003,2025-10-20 21:39:43,83.06,0.869,clear,ACTIVE
LOG000014,D095,DEL00003,2025-10-20 21:41:47,81.5,,clear,ACTIVE
LOG000015,D095,DEL00003,2025-10-20 21:43:52,79.94,0.637,cloudy,ACTIVE
LOG000016,D095,DEL00003,2025-10-20 21:45:57,78.38,0.81,clear,ACTIVE
LOG000017,D095,DEL00003,2025-10-20 21:48:02,76.81,0.992,clear,ACTIVE
LOG000018,D095,DEL00003,2025-10-20 21:50:07,75.25,0.686,clear,COMPLETED
LOG000019,D076,DEL00004,2025-12-21 22:17:53,92.49,0.986,clear,ACTIVE
LOG000020,D076,DEL00004,2025-12-21 22:29:39,87.55,0.745,clear,ACTIVE
LOG000021,D076,DEL00004,2025-12-21 22:41:26,82.62,0.743,clear,ACTIVE
LOG000022,D076,DEL00004,2025-12-21 22:53:13,77.68,0.658,clear,ACTIVE
LOG000023,D076,DEL00004,2025-12-21 23:05:00,72.75,0.846,clear,ACTIVE
LOG000024,D076,DEL00004,2025-12-21 23:16:46,67.82,0.621,clear,COMPLETED
LOG000025,D012,DEL00005,2025-11-12 10:55:36,83.66,0.572,cloudy,ACTIVE
LOG000026,D012,DEL00005,2025-11-12 10:58:51,80.24,0.557,cloudy,ACTIVE
LOG000027,D012,DEL00005,2025-11-12 11:02:07,76.82,0.827,cloudy,ACTIVE
LOG000028,D012,DEL00005,2025-11-12 11:05:23,73.4,0.91,cloudy,ACTIVE
LOG000029,D012,DEL00005,2025-11-12 11:08:39,15.67,0.832,cloudy,ACTIVE
LOG000030,D012,DEL00005,2025-11-12 11:11:55,7.79,0.72,cloudy,FAILED
