delivery_id,drone_id,source,destination,distance_km,start_time,end_time,status
DEL00001,D082,Warehouse-North,Zone-24,14.37,2025-10-22 14:50:25,2025-10-22 15:08:35,SUCCESS
DEL00002,D036,Warehouse-South,Zone-05,26.82,2025-11-17 13:16:43,2025-11-17 13:41:00,SUCCESS
DEL00003,D095,Hub-West,Zone-03,12.92,2025-10-20 21:39:43,2025-10-20 21:50:07,SUCCESS
DEL00004,D076,Warehouse-North,Zone-01,63.02,2025-12-21 22:17:53,2025-12-21 23:16:46,SUCCESS
DEL00005,D012,Warehouse-South,Zone-17,34.92,2025-11-12 10:55:36,2025-11-12 11:11:55,FAILED
DEL00006,D078,Hub-West,Zone-07,20.36,2025-10-06 03:39:59,2025-10-06 04:01:55,SUCCESS
DEL00007,D092,Hub-West,Zone-14,22.06,2026-02-04 04:40:51,2026-02-04 04:58:48,FAILED
DEL00008,D029,Hub-West,Zone-09,13.48,2025-12-27 05:27:57,2025-12-27 05:41:11,SUCCESS
DEL00009,D001,Warehouse-South,Zone-23,19.7,2026-02-25 08:17:55,2026-02-25 08:42:29,SUCCESS
DEL00010,D055,Warehouse-East,Zone-05,54.34,2025-12-06 01:40:56,2025-12-06 02:34:03,SUCCESS
DEL00011,D028,Warehouse-East,Zone-04,38.16,2026-02-26 06:08:25,2026-02-26 07:01:27,SUCCESS
DEL00012,D012,Warehouse-North,Zone-12,56.34,2025-12-13 18:35:22,2025-12-13 19:32:03,SUCCESS
DEL00013,D045,Warehouse-East,Zone-26,33.36,2026-01-26 05:34:02,2026-01-26 06:13:35,SUCCESS
DEL00014,D006,Hub-Central,Zone-18,66.51,2026-02-19 16:47:47,2026-02-19 17:54:08,SUCCESS
DEL00015,D016,Hub-Central,Zone-03,26.47,2026-03-29 02:12:28,2026-03-29 02:30:26,SUCCESS
DEL00016,D071,Hub-West,Zone-29,11.31,2025-11-26 22:18:35,2025-11-26 22:27:09,SUCCESS
DEL00017,D047,Warehouse-South,Zone-23,11.4,2026-01-21 02:39:21,2026-01-21 02:55:25,SUCCESS
DEL00018,D009,Warehouse-South,Zone-25,47.47,2025-10-09 21:33:25,2025-10-09 22:40:56,SUCCESS
DEL00019,D038,Warehouse-South,Zone-28,9.44,2025-10-16 11:51:27,2025-10-16 11:56:10,FAILED
DEL00020,D013,Warehouse-East,Zone-15,53.37,2025-12-13 19:30:59,2025-12-13 20:27:27,SUCCESS
DEL00021,D082,Warehouse-East,Zone-06,39.01,2026-03-11 23:14:10,2026-03-11 23:49:17,FAILED
DEL00022,D048,Warehouse-South,Zone-22,28.05,2025-12-08 23:40:53,2025-12-09 00:03:12,SUCCESS
DEL00023,D035,Warehouse-North,Zone-20,73.96,2026-02-14 06:43:10,2026-02-14 07:58:09,SUCCESS
DEL00024,D082,Hub-West,Zone-24,36.49,2025-11-03 05:33:50,2025-11-03 06:11:58,SUCCESS
DEL00025,D032,Hub-Central,Zone-13,18.37,2025-11-01 17:30:38,2025-11-01 17:58:27,SUCCESS
DEL00026,D035,Hub-West,Zone-08,41.16,2026-03-29 16:38:07,2026-03-29 17:19:31,SUCCESS
DEL00027,D088,Warehouse-North,Zone-08,31.58,2025-12-02 23:16:01,2025-12-02 23:43:20,SUCCESS
DEL00028,D005,Warehouse-East,Zone-13,12.68,2026-03-06 07:47:07,2026-03-06 07:56:29,SUCCESS
DEL00029,D035,Warehouse-South,Zone-30,50.03,2025-10-13 20:27:40,2025-10-13 21:04:03,SUCCESS
DEL00030,D073,Warehouse-East,Zone-07,9.82,2026-03-20 04:10:08,2026-03-20 04:15:32,FAILED
DEL00031,D084,Hub-Central,Zone-29,42.67,2026-01-05 22:35:10,2026-01-05 23:11:26,SUCCESS
DEL00032,D083,Warehouse-South,Zone-09,50.87,2025-12-29 02:24:16,2025-12-29 03:35:27,SUCCESS
DEL00033,D018,Hub-West,Zone-18,14.32,2025-11-17 21:22:02,2025-11-17 21:43:35,SUCCESS
DEL00034,D034,Hub-West,Zone-14,14.06,2026-02-23 01:20:12,2026-02-23 01:31:14,SUCCESS
DEL00035,D075,Warehouse-East,Zone-08,37.64,2025-12-17 13:20:28,2025-12-17 13:50:30,SUCCESS
DEL00036,D018,Hub-Central,Zone-03,6.01,2026-01-07 22:33:52,2026-01-07 22:39:19,FAILED
DEL00037,D097,Warehouse-North,Zone-05,59.35,2025-10-10 03:34:41,2025-10-10 04:46:50,SUCCESS
DEL00038,D081,Hub-Central,Zone-20,62.48,2025-11-01 01:34:12,2025-11-01 02:23:29,FAILED
DEL00039,D009,Hub-Central,Zone-20,26.77,2025-12-14 17:08:44,2025-12-14 17:26:54,SUCCESS
DEL00040,D060,Warehouse-East,Zone-18,34.9,2026-01-11 17:51:05,2026-01-11 18:21:08,SUCCESS
DEL00041,D002,Warehouse-North,Zone-22,5.02,2026-02-10 02:21:01,2026-02-10 02:28:25,SUCCESS
DEL00042,D069,Warehouse-East,Zone-25,12.69,2026-02-23 19:20:39,2026-02-23 19:38:04,SUCCESS
DEL00043,D083,Warehouse-North,Zone-10,56.63,2025-12-06 01:19:57,2025-12-06 02:13:19,SUCCESS
DEL00044,D056,Hub-Central,Zone-01,27.19,2025-10-31 17:04:06,2025-10-31 17:43:55,SUCCESS
DEL00045,D093,Warehouse-East,Zone-17,24.26,2026-03-20 01:46:13,2026-03-20 02:03:08,SUCCESS
DEL00046,D098,Hub-West,Zone-30,50.74,2025-11-04 16:34:41,2025-11-04 17:17:59,SUCCESS
DEL00047,D014,Warehouse-East,Zone-27,8.4,2026-03-19 00:54:38,2026-03-19 01:02:47,SUCCESS
DEL00048,D082,Hub-West,Zone-07,33.7,2026-01-07 13:52:49,2026-01-07 14:23:35,SUCCESS
DEL00049,D020,Warehouse-South,Zone-18,31.8,2025-12-12 14:33:53,2025-12-12 14:47:08,FAILED
DEL00050,D100,Hub-West,Zone-30,8.41,2026-03-29 02:51:15,2026-03-29 02:57:41,SUCCESS
DEL00051,D001,Warehouse-East,Zone-16,26.8,2026-01-25 07:17:02,2026-01-25 07:55:09,SUCCESS
DEL00052,D003,Warehouse-East,Zone-29,37.71,2025-10-22 17:20:28,2025-10-22 17:46:58,SUCCESS
DEL00053,D040,Warehouse-North,Zone-08,47.55,2025-11-16 11:55:43,2025-11-16 12:46:15,SUCCESS
DEL00054,D073,Warehouse-North,Zone-24,34.98,2025-10-16 07:02:04,2025-10-16 07:36:26,SUCCESS
DEL00055,D063,Warehouse-North,Zone-25,54.31,2026-03-08 10:56:38,2026-03-08 11:43:25,FAILED
DEL00056,D069,Warehouse-South,Zone-05,20.67,2026-02-26 17:02:49,2026-02-26 17:11:41,FAILED
DEL00057,D085,Hub-West,Zone-06,24.66,2026-01-01 06:58:35,2026-01-01 07:24:53,SUCCESS
DEL00058,D034,Hub-West,Zone-14,37.5,2026-01-11 11:08:17,2026-01-11 11:55:12,SUCCESS
DEL00059,D028,Hub-West,Zone-25,14.97,2026-03-30 09:03:02,2026-03-30 09:10:24,FAILED
DEL00060,D094,Warehouse-South,Zone-23,95.07,2026-02-11 23:00:58,2026-02-11 23:36:25,FAILED
DEL00061,D040,Warehouse-East,Zone-15,14.07,2025-12-17 11:26:19,2025-12-17 11:38:28,SUCCESS
DEL00062,D067,Warehouse-North,Zone-08,38.8,2025-12-27 16:04:40,2025-12-27 16:46:55,SUCCESS
DEL00063,D029,Warehouse-East,Zone-01,15.25,2025-10-13 10:22:56,2025-10-13 10:35:35,SUCCESS
DEL00064,D076,Warehouse-South,Zone-19,48.27,2026-01-16 13:27:41,2026-01-16 14:04:58,SUCCESS
DEL00065,D029,Warehouse-North,Zone-23,27.26,2025-10-02 09:30:42,2025-10-02 09:56:43,SUCCESS
DEL00066,D081,Warehouse-South,Zone-03,37.01,2025-10-12 10:22:17,2025-10-12 10:59:01,SUCCESS
DEL00067,D005,Warehouse-East,Zone-03,39.02,2026-03-16 22:11:28,2026-03-16 22:30:48,FAILED
DEL00068,D066,Warehouse-East,Zone-22,31.73,2025-11-16 05:10:55,2025-11-16 05:32:48,SUCCESS
DEL00069,D063,Hub-West,Zone-05,58.18,2025-11-11 14:24:57,2025-11-11 15:17:14,SUCCESS
DEL00070,D093,Hub-West,Zone-19,79.44,2026-03-21 08:12:11,2026-03-21 09:11:51,SUCCESS
DEL00071,D061,Hub-Central,Zone-26,37.63,2025-11-17 04:26:57,2025-11-17 04:53:03,SUCCESS
DEL00072,D053,Warehouse-North,Zone-04,29.28,2025-11-06 23:22:28,2025-11-06 23:55:06,SUCCESS
DEL00073,D085,Warehouse-East,Zone-14,49.65,2025-12-23 16:50:38,2025-12-23 17:27:06,SUCCESS
DEL00074,D053,Warehouse-North,Zone-22,18.16,2025-12-30 16:29:33,2025-12-30 16:41:14,FAILED
