drone_id,model,max_range_km
D001,Wing-G2,57.4
D002,Skydio-D2,75.5
D003,Zipline-R1,98.0
D004,Skydio-D2,52.9
D005,Skydio-D2,61.1
D006,DJI-X500,80.1
D007,Zipline-R1,106.6
D008,Zipline-R1,103.7
D009,Zipline-R1,91.0
D010,Skydio-D2,66.8
D011,Wing-G2,41.5
D012,Zipline-R1,118.9
D013,Skydio-D2,75.5
D014,DJI-X500,81.7
D015,Wing-G2,37.1
D016,DJI-X500,67.7
D017,Wing-G2,31.2
D018,Skydio-D2,71.3
D019,DJI-X300,43.3
D020,Wing-G2,43.2
D021,DJI-X500,66.1
D022,Skydio-D2,76.9
D023,Wing-G2,44.3
D024,DJI-X300,56.9
D025,DJI-X300,60.9
D026,Zipline-R1,85.6
D027,Zipline-R1,104.2
D028,DJI-X500,76.2
D029,Wing-G2,36.1
D030,Wing-G2,58.3
D031,Zipline-R1,104.0
D032,Wing-G2,50.8
D033,Wing-G2,56.4
D034,DJI-X300,58.7
D035,Zipline-R1,91.8
D036,Skydio-D2,53.2
D037,Zipline-R1,98.3
D038,Skydio-D2,56.6
D039,DJI-X300,52.5
D040,DJI-X500,86.5
D041,Wing-G2,39.7
D042,DJI-X300,43.7
D043,Wing-G2,40.7
D044,DJI-X500,87.2
D045,DJI-X500,68.2
D046,DJI-X300,59.4
D047,DJI-X500,60.0
D048,Skydio-D2,60.6
D049,DJI-X500,69.1
D050,Wing-G2,34.9
D051,Wing-G2,46.0
D052,Wing-G2,44.5
D053,Wing-G2,50.8
D054,Skydio-D2,58.1
D055,Zipline-R1,89.8
D056,DJI-X300,45.0
D057,Wing-G2,36.6
D058,DJI-X500,76.7
D059,Wing-G2,42.1
D060,DJI-X500,61.9
D061,DJI-X500,67.6
D062,Wing-G2,37.4
D063,Skydio-D2,70.9
D064,DJI-X500,81.4
D065,DJI-X500,64.4
D066,Wing-G2,59.9
D067,DJI-X500,68.0
D068,DJI-X500,89.3
D069,Wing-G2,42.3
D070,Wing-G2,31.0
D071,DJI-X300,50.4
D072,Skydio-D2,69.0
D073,Skydio-D2,70.4
D074,DJI-X500,75.9
D075,Skydio-D2,63.4
D076,DJI-X500,76.6
D077,DJI-X300,57.8
D078,Wing-G2,32.4
D079,Wing-G2,41.1
D080,Wing-G2,37.3
D081,Skydio-D2,74.1
D082,DJI-X300,54.1
D083,Skydio-D2,79.5
D084,Skydio-D2,62.0
D085,DJI-X300,64.5
D086,DJI-X300,64.0
D087,DJI-X300,44.5
D088,DJI-X300,55.2
D089,Wing-G2,50.9
D090,Zipline-R1,114.3
D091,Zipline-R1,93.0
D092,DJI-X300,46.6
D093,Zipline-R1,108.4
D094,Zipline-R1,112.4
D095,DJI-X300,50.5
D096,Zipline-R1,83.8
D097,Skydio-D2,78.2
D098,DJI-X500,71.9
D099,DJI-X500,75.5
D100,DJI-X300,65.1
