order_id,customer_id,order_date,status,region_code
1,241,2025-07-16 07:01:46,SHIPPED,SOUTH
2,365,2024-11-11 17:39:54,SHIPPED,NORTH
3,505,2024-08-03 15:41:00,CANCELLED,EAST
4,505,2025-07-30 18:47:23,DELIVERED,CENTRAL
5,228,2024-12-15 05:21:20,PLACED,WEST
6,,2025-11-20 11:52:15,DELIVERED,SOUTH
7,124,14-05-2026,DELIVERED,NORTH
8,216,2024-11-02 12:09:04,DELIVERED,CENTRAL
9,192,2025-06-02 09:11:18,DELIVERED,CENTRAL
10,189,2025-04-22 01:13:11,DELIVERED,EAST
11,411,2025-03-05 10:45:23,DELIVERED,CENTRAL
12,103,2025-05-31 07:27:14,DELIVERED,WEST
13,154,2024-06-14 03:13:08,SHIPPED,WEST
14,530,2025-10-02 11:09:53,DELIVERED,EAST
15,,2024-10-30 18:02:52,DELIVERED,NORTH
16,261,2024-10-26 14:23:40,DELIVERED,EAST
17,369,2025-07-04 08:18:18,DELIVERED,WEST
18,204,2025-02-25 03:16:45,RETURNED,EAST
19,523,2026-04-24 06:45:44,CANCELLED,WEST
20,475,2025-01-10 00:20:14,CANCELLED,EAST
21,586,2024-09-17 19:54:00,PLACED,EAST
22,325,2025-07-19 12:05:36,DELIVERED,WEST
23,456,2025-12-15 03:45:59,DELIVERED,CENTRAL
24,424,2024-07-04 21:16:16,SHIPPED,SOUTH
25,82,2026-02-05 18:55:56,SHIPPED,NORTH
26,485,2024-07-09 22:57:18,DELIVERED,CENTRAL
27,86,2025-01-26 05:02:52,PLACED,WEST
28,254,2026-04-18 10:13:05,DELIVERED,SOUTH
29,,2025-12-05 08:00:20,CANCELLED,EAST
30,479,2025-07-27 04:20:45,DELIVERED,SOUTH
31,553,2026-05-09 05:10:20,DELIVERED,CENTRAL
32,547,2025-11-20 07:22:20,DELIVERED,SOUTH
33,453,01-03-2026,DELIVERED,EAST
34,536,2024-12-27 17:38:57,DELIVERED,WEST
35,504,2026-06-10 02:20:58,DELIVERED,WEST
36,237,2025-12-31 10:27:12,SHIPPED,CENTRAL
37,256,2026-01-25 09:56:11,CANCELLED,SOUTH
38,433,2025-07-26 07:51:58,DELIVERED,CENTRAL
39,423,2024-09-13 08:31:16,SHIPPED,EAST
40,467,2025-07-26 17:53:44,DELIVERED,WEST
41,20,2024-07-03 09:05:57,SHIPPED,NORTH
42,129,11-06-2024,SHIPPED,SOUTH
43,223,2025-09-26 00:25:14,DELIVERED,WEST
44,475,2024-07-18 07:14:44,DELIVERED,SOUTH
45,402,2026-05-30 08:20:32,SHIPPED,EAST
46,13,2025-06-20 17:59:22,DELIVERED,WEST
47,35,2024-10-22 23:05:38,DELIVERED,SOUTH
48,320,2025-01-31 09:27:46,DELIVERED,NORTH
49,563,2025-06-27 12:11:00,DELIVERED,EAST
50,54,2025-05-03 07:44:03,RETURNED,SOUTH
