item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,115,5,2467.77,0
2,1,198,-3,3061.7,5
3,2,116,3,556.73,34
4,2,115,1,2202.34,3
5,3,285,5,1389.35,3
6,3,114,-1,4038.28,0
7,4,173,1,2762.79,0
8,4,345,2,1239.65,2
9,5,184,3,2125.08,33
10,6,567,2,1578.79,10
11,6,579,5,2615.35,9
12,6,469,4,63966.31,33
13,6,212,5,204.78,0
14,7,86,5,1304.23,33
15,7,413,2,6669.68,7
16,8,1,1,9205.82,0
17,8,232,5,3278.92,32
18,8,230,3,21537.78,39
19,9,334,1,385.18,0
20,9,45,4,13952.72,0
21,10,552,5,10469.9,23
22,10,131,4,2783.02,30
23,11,361,5,27889.63,11
24,11,307,3,2032.11,16
25,12,155,4,1290.28,14
26,12,175,5,6803.32,2
27,12,210,3,1577.32,15
28,13,280,4,2645.38,0
29,14,24,4,3802.78,13
30,15,312,1,3231.25,0
31,15,4,5,8732.05,11
32,16,585,3,12097.31,22
33,16,517,3,3831.76,5
34,17,212,4,217.75,19
35,17,300,5,4214.1,16
36,18,528,4,6767.88,19
37,19,168,4,4778.88,0
38,19,63,1,1893.25,9
39,19,107,-3,1706.1,37
40,19,338,4,4179.26,9
41,20,269,1,802.95,0
42,20,458,3,1587.33,4
43,21,413,1,9092.86,10
44,21,18,3,2332.1,5
45,22,555,3,842.39,9
46,22,20,1,418.41,36
47,22,32,1,1954.71,0
48,23,303,3,314.91,35
49,24,281,3,4078.5,28
50,25,309,1,924.62,3
51,26,447,4,38787.99,0
52,27,128,-1,5386.91,11
53,27,451,1,9716.01,15
54,27,296,3,3185.19,0
55,28,238,5,1671.32,18
56,28,295,3,7012.16,38
57,28,58,1,2481.65,21
58,29,70,4,2310.6,36
59,29,507,2,1544.26,33
60,29,355,5,3119.39,0
61,29,599,3,4889.21,38
62,30,119,5,2936.24,0
63,31,54,5,872.58,0
64,32,315,3,1663.89,11
65,33,449,5,479.54,19
66,34,122,3,8594.7,0
67,34,297,5,754.0,8
68,34,228,2,6242.1,2
69,35,534,5,9215.52,1
70,36,180,5,6361.97,8
71,36,10,3,1088.34,0
72,37,456,3,1246.19,26
73,38,525,1,38468.83,2
74,38,490,2,5715.65,18
75,39,388,2,6858.8,18
76,40,406,2,2384.08,15
77,41,350,1,11362.98,13
78,42,546,5,2653.67,10
79,43,349,2,1589.25,10
80,44,295,2,7554.95,32
81,45,469,5,48586.92,27
82,46,337,5,640.71,0
83,46,53,2,1030.87,30
84,46,76,2,2985.54,35
85,47,84,-2,2004.64,25
86,47,269,3,927.21,13
87,48,164,5,1966.68,0
88,48,223,1,613.67,29
89,48,117,1,2965.11,0
90,49,345,-1,1550.81,37
91,49,587,2,1413.45,10
92,49,152,5,2573.8,0
93,49,383,1,1202.82,12
94,50,476,1,880.91,4
95,51,125,1,4024.06,0
96,52,129,5,730.1,11
97,52,250,4,30345.31,26
98,52,104,5,2050.99,17
99,53,473,2,3364.24,38
100,54,211,4,464.7,0
101,54,358,5,1525.13,4
102,55,62,1,264.17,40
103,55,441,1,21229.14,0
104,55,343,4,7927.94,0
105,56,119,1,2784.8,0
106,57,521,2,6515.29,1
107,58,388,-1,6565.55,9
108,59,71,4,10411.84,10
109,60,210,3,1714.15,15
110,60,272,1,70748.3,1
111,60,560,1,9479.37,0
112,60,430,2,32792.06,0
113,61,278,4,253.32,4
114,62,23,5,4800.65,7
115,63,4,5,8903.94,24
116,63,522,4,58238.53,0
117,64,337,5,623.88,0
118,64,273,-2,3624.92,19
119,65,278,1,270.99,32
120,65,67,5,1218.43,36
121,65,525,2,33217.56,5
122,66,258,1,5882.22,35
123,67,358,2,1675.02,0
124,67,131,4,2131.62,17
125,67,70,2,1856.47,0
126,67,365,4,6538.47,0
127,68,507,5,1545.22,0
128,69,246,5,3670.83,8
129,70,148,2,64274.16,8
130,71,487,2,2338.76,14
131,71,188,2,4545.5,25
132,72,15,3,710.27,0
133,73,547,5,31163.74,7
134,74,221,1,814.81,7
135,74,174,1,380.13,1
136,75,243,4,903.19,3
137,75,202,4,601.18,1
138,75,321,1,8885.58,26
139,76,13,1,809.06,0
140,76,36,4,6344.68,33
141,77,522,4,53855.53,0
142,77,26,3,1402.5,24
143,78,508,1,4298.47,31
144,78,466,3,7535.86,23
145,78,301,2,219.3,0
146,79,220,5,3152.2,37
147,80,313,4,6626.35,3
148,80,214,2,555.17,0
149,81,419,1,3306.75,5
150,82,138,3,6666.14,6
151,82,115,4,1773.47,0
152,82,550,5,3936.71,13
153,82,415,3,7393.76,0
154,83,527,4,1132.84,1
155,83,276,3,774.15,12
156,84,91,5,12572.47,35
157,84,134,1,15451.12,34
158,85,207,4,38416.02,22
159,85,236,3,3342.28,30
160,85,41,5,180.81,9
161,86,152,1,2638.28,39
162,87,152,1,2049.51,22
163,87,3,-3,4409.85,25
164,88,465,2,537.46,1
165,88,582,1,4618.42,0
166,88,95,4,4065.21,0
167,88,507,2,1864.9,10
168,89,471,5,8179.08,13
169,89,557,1,1312.95,9
170,89,265,4,51905.62,35
171,90,528,3,6542.08,19
172,90,251,4,2275.51,15
173,90,569,3,285.51,3
174,90,317,2,152.36,0
175,91,332,2,9392.63,8
176,92,257,3,1829.45,14
177,92,152,1,2244.6,36
178,93,553,1,324.72,0
179,93,458,5,1774.77,20
180,93,401,2,38095.62,15
181,94,140,4,6424.22,11
182,94,164,2,1618.72,0
183,95,574,2,3264.05,9
184,95,72,2,3705.12,0
185,96,408,1,1485.78,0
186,96,271,4,25021.03,0
187,97,89,1,4675.1,0
188,98,582,4,4554.05,36
189,98,546,-3,2599.83,0
190,98,265,3,51787.7,15
191,99,451,4,12010.26,28
192,99,26,1,1119.72,1
193,99,210,3,1307.08,4
194,100,503,4,2913.78,0
195,101,470,2,7367.37,28
196,101,397,3,2100.85,0
197,102,453,4,12214.83,24
198,103,479,1,294.53,11
199,104,112,5,1064.71,0
200,105,279,2,9498.13,39
201,106,114,2,3919.52,7
202,106,365,2,8387.03,16
203,107,284,3,762.42,2
204,107,505,2,1684.38,0
205,108,440,2,4111.88,10
206,108,515,2,711.46,34
207,108,550,1,4528.33,0
208,109,104,1,2169.75,15
209,109,286,1,778.04,0
210,109,412,1,47933.32,0
211,110,509,2,1663.03,14
212,110,60,2,9892.38,4
213,110,564,5,5603.38,0
214,110,283,1,23567.07,31
215,111,509,1,1502.61,11
216,112,108,4,1079.73,37
217,112,53,5,1090.3,5
218,112,537,3,67928.41,0
219,113,349,2,1650.73,2
220,113,171,5,3723.74,32
221,113,483,2,7225.0,0
222,113,115,4,1707.54,0
223,114,159,2,1500.81,15
224,114,394,3,4059.33,9
225,115,42,4,9047.34,0
226,115,294,-3,2301.17,6
227,115,513,-3,5240.11,0
228,116,219,4,1164.72,14
229,116,39,4,914.48,27
230,116,266,4,8456.38,13
231,117,448,5,3972.6,14
232,118,146,1,53789.62,29
233,118,149,4,51772.55,0
234,118,48,5,6011.61,25
235,118,116,5,421.13,3
236,119,68,-2,9042.83,12
237,120,16,3,1480.88,27
238,120,387,4,5816.8,33
239,120,298,4,6073.51,35
240,121,564,1,4474.85,19
241,122,511,4,901.95,32
242,123,435,1,36612.95,26
243,123,114,2,2916.31,8
244,124,240,5,2320.06,9
245,125,386,1,8537.28,0
246,126,158,3,967.83,27
247,127,474,4,3505.28,0
248,128,513,4,5535.87,5
249,129,236,4,2744.82,2
250,129,234,-1,2181.79,18
251,130,333,4,9451.04,0
252,130,266,4,10059.4,0
253,131,308,1,9679.64,3
254,131,387,2,6199.75,0
255,132,562,4,1181.5,0
256,133,442,5,191.38,7
257,133,270,5,7014.25,7
258,133,181,1,2121.76,0
259,134,27,5,2042.01,0
260,135,86,3,1511.11,0
261,136,330,4,3713.49,35
262,137,348,3,222.62,34
263,137,29,2,6861.36,3
264,138,134,4,16484.29,0
265,138,151,4,1320.8,30
266,138,502,4,2507.04,0
267,139,162,5,10403.81,24
268,139,414,5,3473.17,19
269,139,593,1,73111.12,0
270,140,424,5,6329.46,0
271,141,508,1,4297.13,14
272,142,20,2,402.62,15
273,142,41,3,239.13,0
274,142,190,4,1217.5,15
275,143,116,4,431.84,29
276,144,6,5,4030.57,28
277,144,333,3,11424.48,10
278,144,564,3,5009.27,0
279,145,162,4,12549.66,0
280,145,397,2,1545.73,34
281,146,441,4,19004.36,14
282,147,312,3,3248.85,35
283,148,24,4,3849.62,9
284,148,3,4,5240.92,29
285,149,46,-3,3590.28,10
286,150,80,3,521.05,15
287,151,556,5,2734.31,3
288,152,212,-1,192.7,0
289,153,340,3,2574.49,0
290,154,337,1,611.45,33
291,155,214,5,586.94,0
292,156,168,5,3901.43,9
293,157,552,2,11169.94,24
294,157,93,2,1400.23,26
295,158,138,1,5288.11,0
296,159,317,5,150.34,15
297,159,275,1,267.49,35
298,160,136,2,1800.89,4
299,161,411,2,4330.61,5
300,162,521,4,6279.89,20
301,162,436,1,12002.18,1
302,163,546,3,2287.39,0
303,164,363,2,1988.35,0
304,165,143,1,3524.62,37
305,165,530,4,34723.9,0
306,166,130,3,266.35,20
307,166,514,5,4948.93,11
308,167,113,5,7558.98,25
309,167,495,4,4216.75,0
310,167,214,2,547.43,9
311,167,367,5,41506.71,8
312,168,444,3,3355.25,32
313,169,540,5,757.18,3
314,170,490,2,4326.35,0
315,171,599,2,5030.77,14
316,171,327,3,3458.45,0
317,172,359,1,764.44,39
318,173,416,2,1920.71,8
319,173,194,5,7234.53,0
320,173,174,2,401.7,5
321,173,12,1,602.82,21
322,174,138,4,5334.2,26
323,175,595,3,1138.29,8
324,176,238,5,2280.51,0
325,177,206,5,6811.47,0
326,178,228,4,7584.81,16
327,178,148,4,51471.95,7
328,178,429,1,3957.83,0
329,178,539,-3,2860.92,0
330,179,456,4,1257.49,0
331,180,203,4,4477.33,0
332,180,96,4,312.85,12
333,180,283,3,29315.35,8
334,181,398,5,2486.26,0
335,181,214,3,460.98,24
336,182,485,3,971.9,0
337,182,89,4,4164.64,3
338,182,43,2,7878.5,24
339,183,509,2,1428.73,26
340,184,399,5,49264.14,1
341,184,301,5,227.6,0
342,185,43,3,7714.35,29
343,185,273,1,3848.67,1
344,186,346,3,8671.53,3
345,186,286,2,921.62,1
346,187,547,1,34503.0,31
347,188,97,3,25492.5,0
348,188,218,4,1264.67,33
349,189,360,4,22654.04,8
350,189,398,2,2464.01,15
351,189,305,1,850.38,12
352,190,153,4,5544.58,0
353,190,530,3,36147.35,11
354,190,298,2,7447.33,7
355,190,38,2,764.6,15
356,191,28,4,283.27,16
357,192,124,5,42912.12,3
358,192,487,5,2176.57,16
359,193,520,4,46718.22,6
360,193,48,4,4582.8,7
361,194,528,5,7282.88,0
362,194,323,3,4999.17,11
363,194,143,1,3446.95,11
364,195,80,5,474.74,8
365,195,211,2,599.92,0
366,196,16,4,2032.71,21
367,196,522,5,60754.3,33
368,196,503,1,3257.93,0
369,196,239,4,7089.42,15
370,197,316,5,969.21,0
371,197,549,2,2029.36,23
372,197,310,5,3868.24,6
373,198,461,1,68644.53,2
374,198,552,4,9340.44,0
375,198,279,2,10343.66,13
376,198,252,1,5631.62,37
377,199,552,1,9869.56,15
378,200,278,2,215.51,11
379,201,54,1,1215.17,15
380,201,146,5,39351.73,0
381,201,488,1,940.98,0
382,202,50,2,1847.07,1
383,203,68,4,6675.23,35
384,203,564,2,5330.13,25
385,203,335,1,784.98,3
386,204,348,5,241.85,0
387,204,430,-3,30017.64,35
388,205,113,2,6212.44,3
389,206,18,2,2731.55,40
390,206,432,2,53114.35,0
391,207,391,2,3019.4,37
392,207,497,1,708.75,25
393,207,147,3,956.66,4
394,208,160,2,2784.88,33
395,208,584,4,1470.29,0
396,209,460,1,1913.05,4
397,210,316,1,895.5,0
398,210,82,5,2746.11,13
399,210,249,4,201.47,15
400,211,584,4,1173.98,24
401,212,156,2,46391.57,1
402,213,542,4,396.43,6
403,213,497,2,722.69,5
404,214,170,4,299.26,7
405,215,583,5,4292.2,6
406,215,159,5,1459.52,0
407,215,329,5,6061.16,7
408,215,508,4,4003.16,0
409,216,261,5,3757.59,24
410,217,98,3,432.04,4
411,217,159,2,1137.77,0
412,217,51,4,9867.35,39
413,218,313,2,7687.48,0
414,219,18,2,2863.47,20
415,220,482,2,4871.01,7
416,220,393,3,63608.58,0
417,220,12,3,615.15,3
418,221,238,1,2069.86,7
419,222,268,5,53667.08,34
420,222,559,1,3966.86,0
421,222,5,1,7270.54,11
422,223,103,5,6653.67,20
423,224,298,1,7562.31,0
424,224,168,3,4028.35,4
425,225,415,-2,6570.19,0
426,226,359,1,629.52,10
427,226,47,2,4651.6,12
428,227,204,5,2397.41,0
429,228,301,3,250.43,0
430,229,442,1,217.17,20
431,230,68,1,7669.31,18
432,231,483,1,7473.32,40
433,231,92,4,12582.38,3
434,232,361,4,22049.84,10
435,233,2,3,943.44,39
436,234,463,3,1018.27,7
437,235,120,4,4665.0,0
438,235,12,5,642.27,1
439,236,121,5,102.03,13
440,236,560,2,8919.99,0
441,236,392,4,5238.37,0
442,237,558,5,14014.74,38
443,237,456,5,946.86,6
444,238,392,3,5128.79,22
445,239,428,2,4105.89,0
446,240,516,5,1211.88,14
447,240,518,5,931.04,0
448,240,121,5,105.78,39
449,241,289,2,8755.18,20
450,241,388,1,7258.24,9
451,242,409,2,2847.18,10
452,243,466,2,7243.06,10
453,244,280,3,3023.59,38
454,244,59,5,978.92,36
455,245,66,3,4298.26,10
456,246,279,4,10233.69,0
457,247,255,3,10156.19,15
458,248,142,4,2147.94,1
459,248,569,-2,308.45,26
460,248,54,4,1021.37,29
461,248,380,1,414.91,11
462,249,9,5,1109.11,14
463,250,169,1,808.08,1
464,250,24,5,3315.6,40
465,251,583,4,4640.26,14
466,251,192,4,24305.47,0
467,251,475,3,5449.55,15
468,252,280,5,2691.22,5
469,253,293,3,385.73,9
470,253,124,5,46152.09,0
471,254,290,3,6692.45,14
472,254,380,2,428.95,1
473,254,390,1,1817.12,29
474,255,434,1,5078.14,0
475,256,416,1,1512.3,2
476,257,384,2,3985.76,37
477,258,434,4,5121.71,1
478,258,586,1,1732.9,0
479,258,335,3,880.66,28
480,258,375,2,5219.48,12
481,259,472,1,9502.46,36
482,260,545,4,3367.16,5
483,260,220,4,4367.63,0
484,261,507,3,1740.71,33
485,262,480,1,1368.54,12
486,263,91,5,17663.3,0
487,263,191,-2,957.91,0
488,264,491,2,158.09,0
489,264,41,2,237.52,23
490,264,405,4,13285.67,0
491,265,243,5,807.92,33
492,266,48,2,4535.24,0
493,266,1,1,7564.55,13
494,267,218,3,960.0,0
495,268,495,3,4841.49,6
496,268,130,4,346.17,6
497,269,72,2,2766.66,16
498,269,403,3,1953.16,21
499,270,155,2,1180.92,22
500,271,519,1,2568.19,5
501,272,454,1,1310.66,28
502,272,344,5,890.87,0
503,272,295,1,6441.34,0
504,272,55,2,1529.26,36
505,273,376,5,679.14,3
506,273,3,4,3525.42,23
507,274,521,3,8343.36,24
508,275,290,5,6439.12,8
509,275,107,5,1976.49,12
510,276,589,5,545.45,0
511,276,519,4,2929.9,26
512,277,289,5,10594.61,29
513,278,222,2,3395.04,24
514,279,104,2,2596.2,33
515,280,107,3,1698.97,0
516,281,75,2,2757.11,0
517,282,544,3,2646.06,0
518,283,473,5,2389.9,9
519,284,132,2,488.69,0
520,285,298,1,5544.38,18
521,285,205,3,505.85,30
522,286,550,3,5183.32,6
523,286,455,5,6262.17,22
524,287,4,5,8687.59,28
525,287,52,5,12804.08,7
526,288,102,4,8599.15,12
527,289,285,3,1939.55,7
528,290,506,3,1385.79,5
529,290,6,1,3969.16,32
530,290,425,5,264.82,0
531,291,262,3,2358.73,0
532,292,484,-1,1638.38,33
533,292,18,5,3154.37,31
534,292,66,-1,4992.26,0
535,293,158,2,958.33,17
536,293,341,1,3157.65,16
537,293,285,1,1768.03,34
538,293,68,5,7713.87,34
539,294,280,3,3364.59,2
540,295,540,1,805.71,8
541,295,387,4,5281.75,1
542,296,229,5,2360.51,34
543,296,562,1,1309.22,21
544,297,151,1,1420.22,6
545,298,341,5,3279.58,0
546,298,320,2,344.83,12
547,298,483,3,6840.03,27
548,299,317,1,168.81,5
549,300,4,5,9679.51,14
550,301,406,5,2107.19,0
551,301,226,2,1543.73,12
552,302,287,2,960.21,0
553,302,455,2,5379.62,0
554,303,89,3,4566.28,0
555,303,554,5,1431.57,28
556,303,349,5,1999.23,16
557,303,157,2,33570.14,4
558,304,515,-1,811.55,4
559,304,587,1,1625.73,13
560,305,556,4,3055.67,30
561,306,266,1,10236.67,8
562,306,538,1,3884.58,9
563,307,464,2,2285.73,10
564,308,572,5,13786.63,40
565,308,400,2,7888.76,9
566,309,211,-1,642.69,11
567,310,409,1,3943.9,13
568,311,342,1,2756.69,20
569,311,553,5,429.59,0
570,312,28,-2,277.24,0
571,312,122,1,6780.64,0
572,312,569,2,319.45,0
573,313,448,3,4340.89,23
574,313,46,4,3022.54,29
575,314,231,2,258.37,1
576,314,104,2,2668.97,0
577,314,338,3,3981.11,13
578,315,367,2,48383.87,10
579,315,228,5,7943.22,5
580,315,522,5,60280.92,5
581,316,53,1,1239.96,26
582,316,204,4,2651.26,36
583,317,547,5,28961.31,30
584,317,462,5,1951.3,0
585,317,310,3,4599.48,29
586,318,301,1,305.77,14
587,318,438,3,887.85,4
588,319,511,5,864.28,34
589,319,375,4,4010.08,15
590,320,240,1,2681.21,0
591,320,39,2,691.21,27
592,321,168,2,4470.62,7
593,321,564,3,4337.16,4
594,322,478,2,1195.84,31
595,323,126,3,1295.44,9
596,324,499,3,3405.44,10
597,324,453,1,14747.37,0
598,324,97,4,21082.44,25
599,324,102,2,6817.53,5
600,325,60,5,8450.99,31
601,325,295,1,6728.6,39
602,326,296,2,3970.17,1
603,326,357,1,7779.7,38
604,327,194,4,6176.95,10
605,328,446,-2,4126.07,0
606,329,33,2,715.01,3
607,329,226,3,1616.72,22
608,329,434,5,5353.78,35
609,330,464,5,2378.0,24
610,331,301,1,226.16,0
611,332,405,3,10719.59,28
612,333,393,2,48592.61,4
613,334,366,4,7058.79,34
614,334,188,4,3609.27,24
615,334,306,5,55152.1,14
616,335,343,3,9636.43,24
617,335,262,5,2321.38,0
618,335,1,3,7745.29,0
619,335,370,3,1317.19,2
620,336,203,2,3582.08,12
621,337,325,2,11463.44,0
622,337,330,3,3386.21,0
623,338,542,3,393.77,12
624,339,88,3,54213.73,0
625,339,444,4,2890.62,2
626,339,562,1,920.63,10
627,339,538,3,2872.92,30
628,340,562,1,1065.7,0
629,341,74,3,2117.29,0
630,341,35,1,4756.44,29
631,341,344,1,989.88,0
632,341,98,1,368.04,7
633,342,78,3,5153.05,0
634,343,435,2,44653.37,0
635,343,140,3,6597.3,0
636,343,181,1,1633.07,19
637,344,48,1,4587.97,0
638,344,590,1,3315.03,6
639,345,120,2,5116.24,26
640,345,422,3,2808.4,3
641,345,306,5,69503.42,3
642,345,441,4,15614.06,39
643,346,254,4,4219.19,36
644,346,249,3,226.13,0
645,346,484,2,2109.63,2
646,346,393,4,53256.68,0
647,347,400,2,6949.39,0
648,347,427,4,572.16,0
649,347,415,5,5697.04,30
650,348,404,4,6635.44,6
651,348,418,2,6759.37,33
652,348,256,2,1182.35,40
653,348,506,5,982.67,0
654,349,429,2,4138.39,0
655,349,294,4,2118.09,7
656,350,104,4,2155.82,10
657,351,560,1,7489.28,37
658,352,404,5,6704.39,0
659,353,214,4,435.37,21
660,353,5,1,8036.34,31
661,354,20,5,461.88,0
662,354,135,1,3223.38,34
663,354,453,4,13217.46,20
664,355,169,4,829.5,0
665,355,196,5,4185.51,34
666,355,308,1,11242.21,32
667,355,82,1,2375.83,28
668,356,91,5,18492.4,1
669,356,564,2,4272.49,0
670,357,174,3,454.3,28
671,358,279,5,11338.74,0
672,359,221,4,917.15,37
673,359,281,5,3636.67,14
674,359,272,1,70549.64,14
675,359,222,1,3438.75,0
676,360,290,5,7204.71,18
677,361,320,2,335.34,33
678,362,428,1,3562.29,39
679,363,41,2,172.52,0
680,363,514,3,3970.07,0
681,363,203,1,4566.18,0
682,364,103,2,6793.27,26
683,364,102,1,6272.55,20
684,364,101,5,3755.48,16
685,365,476,1,968.02,0
686,366,136,5,2283.19,20
687,367,77,5,5702.88,14
688,367,390,3,1413.77,2
689,367,82,1,2460.2,10
690,367,389,1,5473.53,3
691,368,291,1,3437.22,0
692,369,444,2,3204.46,5
693,370,180,4,6587.4,1
694,370,290,4,5743.61,12
695,370,283,5,31031.87,7
696,370,519,5,2777.84,1
697,371,349,4,2240.27,0
698,371,373,5,56626.93,3
699,372,160,4,3418.7,6
700,373,9,-1,1089.4,36
701,374,228,1,6693.28,29
702,375,525,4,31539.89,16
703,376,422,4,2608.74,0
704,376,139,5,1228.67,3
705,376,114,1,3922.49,0
706,376,566,2,1256.54,5
707,377,160,5,3715.32,0
708,377,2,3,938.03,9
709,378,234,3,1587.46,2
710,378,31,3,2876.14,0
711,378,544,5,3250.55,0
712,379,369,4,3980.64,13
713,379,30,2,16217.98,16
714,380,295,3,6566.55,0
715,381,98,3,436.79,0
716,381,132,5,385.52,9
717,381,229,1,3222.45,8
718,382,233,4,51129.85,0
719,382,456,3,1277.94,14
720,382,590,1,2926.26,27
721,382,382,5,296.99,33
722,383,1,4,8397.5,11
723,384,157,5,31331.53,0
724,385,340,4,2792.2,13
725,386,85,4,3945.86,2
726,386,574,1,4057.52,1
727,386,21,5,59283.77,7
728,387,408,3,1773.44,31
729,387,185,3,536.69,9
730,388,145,3,627.71,0
