order_id,customer_id,order_date,status,region_code,is_future_dated,customer_id_missing
1,241,2025-07-16 07:01:46,SHIPPED,SOUTH,False,False
2,365,2024-11-11 17:39:54,SHIPPED,NORTH,False,False
3,505,2024-08-03 15:41:00,CANCELLED,EAST,False,False
4,505,2025-07-30 18:47:23,DELIVERED,CENTRAL,False,False
5,228,2024-12-15 05:21:20,PLACED,WEST,False,False
6,,2025-11-20 11:52:15,DELIVERED,SOUTH,False,True
7,124,2026-05-14 00:00:00,DELIVERED,NORTH,False,False
8,216,2024-11-02 12:09:04,DELIVERED,CENTRAL,False,False
9,192,2025-06-02 09:11:18,DELIVERED,CENTRAL,False,False
10,189,2025-04-22 01:13:11,DELIVERED,EAST,False,False
11,411,2025-03-05 10:45:23,DELIVERED,CENTRAL,False,False
12,103,2025-05-31 07:27:14,DELIVERED,WEST,False,False
13,154,2024-06-14 03:13:08,SHIPPED,WEST,False,False
14,530,2025-10-02 11:09:53,DELIVERED,EAST,False,False
15,,2024-10-30 18:02:52,DELIVERED,NORTH,False,True
16,261,2024-10-26 14:23:40,DELIVERED,EAST,False,False
17,369,2025-07-04 08:18:18,DELIVERED,WEST,False,False
18,204,2025-02-25 03:16:45,RETURNED,EAST,False,False
19,523,2026-04-24 06:45:44,CANCELLED,WEST,False,False
20,475,2025-01-10 00:20:14,CANCELLED,EAST,False,False
21,586,2024-09-17 19:54:00,PLACED,EAST,False,False
22,325,2025-07-19 12:05:36,DELIVERED,WEST,False,False
23,456,2025-12-15 03:45:59,DELIVERED,CENTRAL,False,False
24,424,2024-07-04 21:16:16,SHIPPED,SOUTH,False,False
25,82,2026-02-05 18:55:56,SHIPPED,NORTH,False,False
26,485,2024-07-09 22:57:18,DELIVERED,CENTRAL,False,False
27,86,2025-01-26 05:02:52,PLACED,WEST,False,False
28,254,2026-04-18 10:13:05,DELIVERED,SOUTH,False,False
29,,2025-12-05 08:00:20,CANCELLED,EAST,False,True
30,479,2025-07-27 04:20:45,DELIVERED,SOUTH,False,False
31,553,2026-05-09 05:10:20,DELIVERED,CENTRAL,False,False
32,547,2025-11-20 07:22:20,DELIVERED,SOUTH,False,False
33,453,2026-03-01 00:00:00,DELIVERED,EAST,False,False
34,536,2024-12-27 17:38:57,DELIVERED,WEST,False,False
35,504,2026-06-10 02:20:58,DELIVERED,WEST,False,False
36,237,2025-12-31 10:27:12,SHIPPED,CENTRAL,False,False
37,256,2026-01-25 09:56:11,CANCELLED,SOUTH,False,False
38,433,2025-07-26 07:51:58,DELIVERED,CENTRAL,False,False
